animals alive,grasses alive,average lifespan of dead animals,average lifespan of alive animals
32,55,0,0
32,55,0,1
33,65,0,1
35,74,0,2
35,84,0,3
35,93,0,4
33,101,3,5
32,110,3,7
30,118,5,8
29,126,6,8
10,135,9,9
10,145,9,10
10,155,9,11
10,165,9,12
10,174,9,13
10,183,9,14
10,193,9,15
9,203,9,17
9,213,9,18
8,222,9,19
8,232,9,20
8,243,9,21
8,253,9,22
8,263,9,23
8,272,9,24
2,281,12,25
7,290,12,26
7,299,12,27
7,307,12,28
7,316,12,29
7,326,12,30
7,335,12,31
7,344,12,32
7,354,12,33
7,364,12,34
7,374,12,35
5,383,13,36
10,392,13,37
10,401,13,38
10,411,13,39
10,418,13,40
10,424,13,41
10,432,13,42
10,440,13,43
10,450,13,44
10,457,13,45
10,464,13,46
9,470,14,47
9,480,14,48
9,489,14,49
9,497,14,50
9,505,14,51
9,514,14,52
9,522,14,53
9,531,14,54
9,539,14,55
9,548,14,56
9,557,14,57
501.6034482758621
