animals alive,grasses alive,average lifespan of dead animals,average lifespan of alive animals
65,87,0,0,0.18461538461538463
71,112,0,0,0.3380281690140845
73,137,0,1,0.3835616438356164
74,160,0,2,0.40540540540540543
75,183,0,3,0.4266666666666667
64,206,4,4,0.15625
63,227,4,5,0.12698412698412698
53,249,5,6,0.07547169811320754
49,272,5,7,0.08163265306122448
44,295,6,8,0.09090909090909091
17,322,8,9,0.35294117647058826
18,345,8,9,0.4444444444444444
18,368,8,10,0.4444444444444444
18,392,8,11,0.4444444444444444
18,415,8,12,0.4444444444444444
18,440,8,13,0.4444444444444444
17,463,7,15,0.35294117647058826
16,487,7,16,0.25
16,511,7,17,0.25
16,533,7,18,0.25
16,556,7,19,0.25
16,576,7,20,0.25
14,598,8,21,0.2857142857142857
14,620,8,22,0.2857142857142857
14,643,8,23,0.2857142857142857
12,667,8,24,0.3333333333333333
12,690,8,25,0.3333333333333333
12,714,8,26,0.3333333333333333
12,738,8,27,0.3333333333333333
12,760,8,28,0.3333333333333333
13,784,8,27,0.46153846153846156
13,804,8,28,0.46153846153846156
13,827,8,29,0.46153846153846156
13,848,8,30,0.46153846153846156
13,871,8,31,0.46153846153846156
13,895,8,32,0.46153846153846156
13,917,8,33,0.46153846153846156
13,940,8,34,0.46153846153846156
13,960,8,35,0.46153846153846156
13,980,8,36,0.46153846153846156
13,1001,8,37,0.46153846153846156
13,1023,8,38,0.46153846153846156
13,1046,8,39,0.46153846153846156
13,1069,8,40,0.46153846153846156
14,1090,8,38,0.5714285714285714
15,1111,8,36,0.6666666666666666
16,1134,8,35,0.75
18,1154,8,32,0.8888888888888888
20,1176,8,30,1.0
22,1195,8,28,1.0909090909090908
23,1215,8,28,1.1304347826086956
25,1237,8,26,1.2
27,1258,8,25,1.2592592592592593
31,1280,8,23,1.3548387096774193
35,1302,8,21,1.4285714285714286
40,1323,8,19,1.5
43,1342,8,19,1.5348837209302326
44,1363,8,19,1.5454545454545454
45,1384,8,20,1.5555555555555556
44,1403,8,21,1.5454545454545454
47,1421,8,20,1.574468085106383
49,1439,8,19,1.5918367346938775
52,1459,8,18,1.6153846153846154
57,1482,8,18,1.6491228070175439
59,1501,8,18,1.6610169491525424
61,1519,8,18,1.6721311475409837
61,1538,8,18,1.6721311475409837
64,1558,8,18,1.6875
60,1576,9,17,1.7333333333333334
62,1592,9,17,1.7419354838709677
63,1610,9,17,1.746031746031746
69,1625,9,16,1.7681159420289856
82,1640,9,14,1.8048780487804879
91,1654,9,14,1.8241758241758241
102,1668,9,13,1.8431372549019607
115,1680,9,12,1.8608695652173912
126,1690,9,11,1.873015873015873
139,1703,9,11,1.8848920863309353
151,1715,9,10,1.8940397350993377
161,1724,9,10,1.9006211180124224
175,1738,9,10,1.9085714285714286
186,1746,9,10,1.913978494623656
200,1756,9,10,1.92
208,1763,9,10,1.9230769230769231
222,1775,9,10,1.927927927927928
236,1786,9,10,1.9322033898305084
241,1786,8,10,1.933609958506224
247,1788,8,10,1.9352226720647774
254,1790,9,10,1.937007874015748
266,1793,9,9,1.9398496240601504
275,1799,9,10,1.9418181818181819
285,1797,9,9,1.9508771929824562
299,1807,9,9,1.9531772575250836
309,1810,9,9,1.9546925566343043
312,1811,9,9,1.955128205128205
313,1817,9,10,1.9552715654952078
308,1825,9,10,1.9545454545454546
326,1823,9,10,1.9570552147239264
323,1826,9,10,1.956656346749226
333,1824,9,10,1.957957957957958
341,1822,9,10,1.9589442815249267
359,1818,9,10,1.9610027855153203
390,1811,9,9,1.964102564102564
412,1806,9,9,1.9660194174757282
443,1804,9,8,1.9683972911963883
479,1792,9,8,1.9707724425887265
516,1789,9,8,1.9728682170542635
537,1780,9,8,1.9739292364990688
567,1776,9,8,1.9753086419753085
564,1750,9,8,1.975177304964539
577,1739,9,8,1.975736568457539
572,1735,9,9,1.9755244755244756
132.96428571428572,1218.7589285714287,7.901785714285714,17.017857142857142,0.0
